#TYPE System.Management.Automation.PSCustomObject
"Name","PathName","Hash","DateAdded"
"mfeavfk","C:\windows\system32\drivers\mfeavfk.sys","0152DBEF3AC1BFDCFEB67488FECFFBF7","7/25/2013"
"","","015C0D8E0E0421B4CFD48CFFE2825879","9/11/2013"
"","","016544B452E6FDB54CD108D0248DB2B1","9/11/2013"
"","","016BE824802F3869A7DA2F2B6329B563","9/11/2013"
"MsDtsSrvr.exe","C:\Program Files\Microsoft SQL Server\100\DTS\Binn\MsDtsSrvr.exe","0171827668F8DDC5C7E740E26DCAB6DD","9/27/2013"
"","","0171A39AE9F529E4E49F02BCF8D22EBD","9/11/2013"
"dchbas32.dll","C:\Windows\system32\dchbas32.dll","0174D5A44BB24E029926FAD06458A7C5","9/27/2013"
"dcadpt32.dll","C:\Program Files\Dell\SysMgt\omsa\bin\dcadpt32.dll","018001A6712BA87105BB37CBB032819D","9/27/2013"
"","","01874D4689C212460FBABF0ECD7CB7F7","9/11/2013"
"","","018FD40C76818D626186B29A90D9CA5A","9/11/2013"
"","","01912A6497F656AC446E748CE5F73AAD","9/11/2013"
"","","019AF6924AEFE7839F61C830227FE79C","9/11/2013"
"UIAutomationCore.dll","C:\Windows\system32\UIAutomationCore.dll","019BDD35DE269CB98B22DE8923C2AA3B","8/30/2013"
"RASAPI32.dll","C:\windows\system32\RASAPI32.dll","019CD868461B646E09BDF04474C19341","7/25/2013"
"","","01AAC6F141DD26402800745975832E16","9/11/2013"
"","","01AAE06E543C0956AC247546A8F2DAFE","9/11/2013"
"","","01B6B137DD0FD5CE7ECAE96C9017C7F1","9/11/2013"
"","","01B7C02B52A2A19480E0F25E3C8718BC","9/11/2013"
"","","01B8ACF7C9AFA9005DB6378077137BCE","9/11/2013"
"ACCWIZ.DLL","C:\PROGRA~1\MICROS~2\Office14\ACCWIZ.DLL","01BDE27895DFEFAC30AEE44B80DD1493","9/27/2013"
"","","01C2C507FE03745AA2487E35FB6B1FDB","9/11/2013"
"","","01CC7FB6E790EF044B411377F3A1FF41","9/11/2013"
"","","01D9652680E50F0F3C566BADCB415221","9/11/2013"
"dwm.exe","C:\Windows\system32\Dwm.exe","01DD1004181FD46ECDC3628228EB269D","9/27/2013"
"NaturalLanguage6.dll","C:\windows\System32\NaturalLanguage6.dll","01E2855FB06C422E721D890AF201C2D7","7/25/2013"
"","","01EC3A3E044AF7D7AF9E272C4A569B8E","9/11/2013"
"nspr4.dll","C:\Local\Apps\FirefoxPortable\App\firefox\nspr4.dll","01F0D64633EF7DB59C8552CFF33A5B07","9/27/2013"
"vmbus","C:\Windows\system32\DRIVERS\vmbus.sys","01F69CE49090989CCBD3B833C7815CA8","9/27/2013"
